Nr.,Ursprung Stellungnahme,Im Entwurf berücksichtigt,Bewertung,Offener Punkt,Empfehlung
1,"Kritik am Verlust landwirtschaftlicher Nutzflaechen, Zweifel an der Einstufung als landwirtschaftlich benachteiligtes Gebiet, Forderung nach strenger Alternativenpruefung sowie Vorbehalte zu moeglichen Hitze- und Niederschlagswasserwirkungen.","Gebietseinstufung, Alternativenpruefung und fortgefuehrte Umnutzung landwirtschaftlicher Flaechen sind im Entwurf begruendet; Detailaussagen zu Langzeitwirkungen auf Flaeche und Nachbarbereiche fehlen.","Teilweise berücksichtigt","Konkrete agrarische Folgen fuer die lokale Nahrungsmittelproduktion sowie moegliche Hitze-/Niederschlagswasserwirkungen werden in den zitierten Passagen nicht vertieft.","Flaechenbezogene Abwaegung mit nachvollziehbarer Agrarwirkung ergaenzen und klar kenntlich machen, welche Aussagen zur Flaechenwirkung bereits belegt sind und welche nicht."
2,"Sorge um Acker-/Gruenlandverlust, fehlende Darstellung betrieblicher Folgen, fehlende Alternativen und unklare Kompensation.","Alternativenpruefung, Gebietseinstufung sowie Naturschutz-/Kompensationsmassnahmen inkl. externer CEF-Flaechen sind dokumentiert; eine konkrete agrarwirtschaftliche Kompensation ist daraus nicht unmittelbar ableitbar.","Teilweise berücksichtigt","Spezifische Auswirkungen auf landwirtschaftliche Betriebe und die agrarische Ausgleichswirkung der vorgesehenen Massnahmen sind nicht konkretisiert.","Explizite betriebsbezogene Agrarfolgen-Darstellung in die Abwaegung aufnehmen und naturschutzrechtliche von agrarwirtschaftlicher Kompensation klar trennen."
3,"Befuerchteter Verlust von Naherholung und landschaftlicher Atmosphaere durch grossflaechige Ueberbauung.","LSG- und Erholungsbezug werden beschrieben; Erholungsfunktion der Flaechen wird als untergeordnet eingestuft; Sichtbarkeitsbewertung mit Fotomontagen ist enthalten.","Teilweise berücksichtigt","Subjektiv erlebte Naherholungsqualitaet der Anwohnerschaft wird angesprochen, aber im Ergebnis eher abgewertet.","Ergaenzende ortsbezogene Nutzungserhebung (Fuss-/Radnutzung, Aufenthaltsorte) fuer die Erholungsabwaegung nachreichen."
4,"Bedenken zu LSG-Zulaessigkeit, Hochwasser/Chemikalien, Wertverlust, Effizienz/Standort, Windlast, Rueckbau und Buergerbeteiligung.","LSG-Befreiungsweg, Wasser-/Hochwasserthemen, Hilfsstoffverbote, Rueckbau/Befristung und Immissionsaspekte sind behandelt; mehrere Einzelfragen bleiben aber nur mittelbar beantwortet.","Teilweise berücksichtigt","Wertminderung, konkrete Windlast-/Statikfragen, Beteiligungsformate sowie die angesprochene standortbezogene Effizienz werden nicht klar oder nur mittelbar beantwortet.","Ergaenzende Darlegung zu Immobilienwert, Windlastnachweisen, Beteiligungs-/Kommunikationskonzept und zur standortbezogenen Eignungsbegruendung bereitstellen."
5,"Befuerchtete Belastung angrenzender Nutzung und Erreichbarkeit (Wegerecht/Baustrassen), Misstrauen gegen Betreiber/Verwaltung.","Dauerhafte Zuwegung zu eingeschlossenen Flurstuecken, Wegedimensionierung und Verbot von Zuwegungsblockaden sind festgesetzt.","Teilweise berücksichtigt","Durchsetzung und Kontrolle bei moeglichen Behinderungen bleiben offen.","Verbindliches Bau- und Betriebswegekonzept mit Beschwerdeweg, Kontrollrhythmus und Sanktionsmechanik ergaenzen."
6,"Verlust eines lokalen Erholungsortes und Forderung nach alternativen, weniger sensiblen Standorten.","Alternativenpruefung ist enthalten; Erholungsfunktion wird im Entwurf behandelt, aber als untergeordnet bewertet.","Teilweise berücksichtigt","Der konkret benannte Erholungsort wird nicht explizit bewertet.","Mikrostandortbezogene Erholungsbetrachtung (konkrete Aufenthaltsorte im Umfeld) nachreichen."
7,"Nachbarschaftsbedenken zu Brand, Waldabstand, Wildkorridoren, Temperatur, Informationsdefiziten, Rueckbau/Insolvenz und Wertminderung.","Brandschutz, Waldabstand, Wilddurchlaesse, Mikroklimaeinschaetzung und Rueckbauverpflichtung sind im Entwurf geregelt; konkrete Versicherungs- oder Sicherungsinstrumente werden in den zitierten Fundstellen nicht benannt.","Teilweise berücksichtigt","Wertminderung, Versicherung/Haftung und insolvenzfeste finanzielle Absicherung sind nicht konkret ausformuliert; wegen OCR-Basis bleibt zudem offen, ob alle Unterpunkte vollstaendig erfasst sind.","Spezifische Regelung zur finanziellen Rueckbauabsicherung sowie transparente Darstellung von Haftungs-/Sicherungsinstrumenten nachreichen und OCR-basierte Unterpunkte bei Gelegenheit gegen die Primaerquelle verifizieren."
8,"Gefaehrdung von Wildwechseln und Vogelarten, Verlust von Rueckzugsraeumen, Forderung nach naturvertraeglichen Alternativstandorten.","Wildwechselerhebung, Zaundurchlaesse/Wildkorridor, artenbezogene Vermeidungs-/CEF-Massnahmen mit Monitoring sowie Alternativenpruefung sind enthalten.","Teilweise berücksichtigt","Ob die Korridore die Funktion als Hauptwildwechsel vollumfaenglich erhalten, bleibt prognostisch.","Vorhabensbegleitendes Monitoring mit klaren Nachsteuerungs-Triggern fuer Wildkorridor-Funktion vertraglich schaerfen."
9,"Umfangreiche naturschutzfachliche/rechtliche Einwaende zu Steinruecken, Quellgebiet, Kaltluftfunktion und Biotopverbund.","Steinruecken/Biotopverbund, Quellgebiets-Offenlegung, Kaltluftfunktion sowie Schutzgebiets-/Befreiungsbezuege sind im Entwurf adressiert.","Teilweise berücksichtigt","Mehrere zentrale Einwaende werden kontrastierend bewertet, aber nicht konfliktfrei aufgeloest.","Einwaende in einer systematischen Abwaegungsmatrix (Punkt-fuer-Punkt mit Rechts-/Fachbezug) transparent beantworten."
10,"Forderung nach unabhaengigem Umweltgutachten; Sorge um Artenvielfalt und Wohnqualitaet/Wertverlust; Forderung nach Rueckbauabsicherung.","Artenschutzfachbeitrag und Massnahmen/Monitoring, Rueckbauverpflichtung/Befristung sowie Immissions-/Wohnumfeldaspekte sind behandelt.","Teilweise berücksichtigt","Unabhaengige Zusatzbegutachtung und konkret ausgewiesene Rueckbaubuergschaft sind nicht eindeutig benannt.","Transparente Darlegung zur Unabhaengigkeit der Gutachten und explizites Sicherungsinstrument fuer Rueckbaukosten vertraglich offenlegen."
