Nr,Buerger_Bezeichnung,Seitenbereich,Kernpunkte_kurz
1,Buerger 1,S. 1-2,"Verlust landwirtschaftlicher Nutzflaechen; Zweifel an Einstufung benachteiligter Gebiete; Forderung nach kritischer Pruefung"
2,Buerger 2,S. 3,"Sorge um Acker-/Gruenlandverlust; fehlende Auswirkungen auf Betriebe; fehlende Alternativen und unklare Kompensation"
3,Buerger 3,S. 4,"Gefaehrdung der Naherholung und Landschaftsatmosphaere; Verlust von 80 ha Gruenflaeche"
4,Buerger 4,S. 5,"Bedenken zu LSG-Zulaessigkeit, Hochwasser/Chemikalien, Wertverlust, Effizienz/Standort, Windlast, Rueckbau und Buergerbeteiligung"
5,Buerger 5,S. 6-7,"Belastung angrenzender Nutzung und Erreichbarkeit; Misstrauen gegen Betreiber/Verwaltung; Befuerchtung zu Baustrassen und Wegerecht"
6,Buerger 6,S. 8,"Verlust eines lokalen Erholungsortes; Appell fuer alternatives, weniger sensibles Gebiet"
7,Buerger 7 (Bild-OCR, unsicher),"S. 9 (vermutet)","Nachbarschaftsbedenken zu Brand, Waldabstand, Wildkorridoren, Temperatur, Rueckbau/Insolvenz und Wertminderung"
8,Buerger 8,S. 10-11,"Wildwechsel und Vogelarten gefaehrdet; Rueckzugsraumverlust; Forderung nach naturvertraeglichen Alternativstandorten"
9,Buerger 9,S. 12-16,"Umfangreiche naturschutzfachliche/rechtliche Einwaende zu Steinruecken, Quellgebiet, Kaltluftfunktion; konkrete Handlungsempfehlungen"
10,Buerger 10,S. 17,"Forderung unabhaengiges Umweltgutachten; Sorge um Artenvielfalt, Wohnqualitaet/Wertverlust; Rueckbaubuergschaft anmahnt"
11,Buerger 11,S. 18-20,"Kritik an fehlender Festsetzung zu Stromableitung/Speichern/Sichtschutz; Denkmalschutz, Tourismus, Verkehrs- und Strassenschaeden"
12,Buerger 12,S. 21-22,"Ueberdimensionierung mehrerer Solarparks; Lage in Schutzkulissen/Grundwassergefaehrdung; Barrierewirkung und Quellgebiet nicht ausreichend beruecksichtigt"
13,Buerger 13,S. 23,"Ablehnung des Vorhabens; Vorrang fuer bereits versiegelte Flaechen statt Landschaft/Agrarflaechen"
14,Buerger 14,S. 24,"Lebensraumverlust durch Einzaeunung; zusaetzliche Belastung durch moegliche Lithiumanlage; Verweis auf Artenschutz"
15,Buerger 15,S. 25,"Negative Effekte auf Oekosysteme und gefaehrdete Bodenbrueter; Flaechenumfang als zu gross bewertet"
16,Buerger 16,S. 26,"Konflikt mit Tourismus/Natur; Grundstuecksentwertung; bevorzugt versiegelte bzw. infrastrukturnahe Flaechen und Kritik an Einspeisesituation"
17,Buerger 17,S. 27,"Erhalt historischer Kulturlandschaft und fruchtbarer Boeden; Ablehnung des Flaechenentzugs fuer Energiegewinnung"
18,Buerger 18,S. 28,"Naturschutzfachliche Einwaende (Vorranggebiet, Kartierung, Biotope/Zauneidechse, LSG-Vertraeglichkeit); Teilflaechenausnahme gefordert"
19,Buerger 19,S. 29-30,"Grundsatzkritik an Verhaeltnismaessigkeit/Experimentierklausel; technische und rechtliche Detaileinwaende (Erschliessung, Loeschwasser, Abstaende, Vermessung, Wege)"
20,Buerger 20A,S. 31,"Wertverlust, Brunnen/Drainage-Risiko, Erreichbarkeit Waldstueck; fordert Wegerecht und Alternativstandorte"
21,Buerger 20B,S. 32,"Befuerchtete Blendwirkung bei 60 m Abstand; fordert groesseren Abstand und Bewertung nach LAI-Hinweisen"
22,Buerger 21,S. 33-34,"Boden-/Wasserhaushalt und Nahrungsketten betroffen; Risiken fuer verschiedene Tierarten und Renaturierungsflaechen; fordert Alternativen"
23,Buerger 22,S. 35-56,"Sehr umfangreiche rechtliche/planerische Einwendungen (Alternativen, GRZ, Artenschutz, Biotope, Sichtschutz, Blendung, Zaun/Wanderkorridore, Landwirtschaft, Verhaeltnismaessigkeit, Waldabstand)"
24,Buerger 23,S. 57-59,"Eigentuemerin Waldstueck: Kritik an Flaechenumfang, fehlender Alternativenpruefung und Umweltpruefung; Bedenken zu Mikroklima, Brandrisiko und Tierwanderung"
25,Buerger 24,S. 60-61,"Fragen zu geplanter Leistung, EEG-/Gemeindebeteiligung, Wirtschaftlichkeit und Hochwasser/Versickerung; insgesamt negative Bewertung"
26,Buerger 25,S. 62-63,"Kritik an Buergerbeteiligung; Denkmalschutz, Landschaftsbild, Naherholung und Tourismus betroffen; fordert alternative Standorte"
27,Buerger 26,S. 64-66,"Verhaeltnismaessigkeit bei Kumulation mehrerer Parks; Netzstabilitaet, fehlendes kommunales EE-Konzept, Speicher-/Brandschutz und Transparenz eingefordert"
28,Buerger 27,S. 67,"Klimatische/Hydrologische und naturschutzfachliche Bedenken bei Ueberdimensionierung; Ablehnung in geplanter Groesse"
29,Buerger 28,S. 68,"Sorge um Landschaftsbild und gesetzlich geschuetzte Biotope; fordert alternative Energiekonzepte"
30,Buerger 29,S. 69,"Kritik am hohen Anteil geplanter Solar-Flaechen und Zusatzbelastung; fordert prioritaer weniger eingriffsintensive Standorte"
