Nr,Ursprung Stellungnahme,Im Entwurf beruecksichtigt,Bewertung,Offener Punkt,Empfehlung
11,"Stromableitung/Speicher/Sichtschutz; Denkmalschutz/Tourismus; Bauverkehr und Strassenschaeden","Medienerschliessung, Erdverkabelung, Denkmalschutz- und Tourismusbewertung sowie Sichtschutzhecken mit Kontrolle enthalten; Strassenschaeden nicht explizit festgesetzt","Teilweise beruecksichtigt","Einspeisepunkt/Speicherdetails/Strassenschadenregelung","Verbindliche Detailfestsetzungen und vertragliche Beweissicherung ergaenzen"
12,"Ueberdimensionierung mehrerer Parks; Schutzkulissen/Grundwasser; Barrierewirkung; Quellgebiet","Alternativenpruefung inkl. Kumulation, Wilddurchlaesse und Quellrevitalisierung enthalten","Teilweise beruecksichtigt","Gesamtkumulation bleibt strittig","Kumulative Wirkungen je Schutzgut transparent bilanzieren"
13,"Ablehnung; versiegelte Flaechen statt Agrarflaechen","Konversions- und Verkehrsflaechen geprueft, aber nicht als vorzugswuerdig bewertet","Teilweise beruecksichtigt","Verzicht auf Agrarflaechen nicht uebernommen","Standortabwaegung in Vergleichsmatrix offenlegen"
14,"Lebensraumverlust durch Zaun; zusaetzliche Belastung durch moegliche Lithiumanlage","Zaun-Durchlaesse/Wildkorridore, Biotoperhalt und CEF/Monitoring enthalten","Teilweise beruecksichtigt","Externe Lithiumanlage nicht planinhaltlich geklaert","Kumulative Abgrenzung gegen Nachbarvorhaben explizit darstellen"
15,"Negative Oekosystemeffekte und Bodenbrueter-Risiko; Flaeche zu gross","Artennachweise, CEF-Massnahmen, Monitoring und extensive Pflege festgesetzt","Teilweise beruecksichtigt","Groessenkritik bleibt","Zielkonflikt Flaechenumfang vs. Wirkungsminderung klar trennen"
16,"Tourismus/Natur-Konflikt, Wertminderung, alternative Standorte, Einspeisesituation","Landschaftsbild/Tourismus bewertet, Alternativen geprueft, Kabeleinspeisung benannt","Teilweise beruecksichtigt","Private Wertminderung nicht planfestgesetzt","Planungsrechtliche und nicht-planungsrechtliche Punkte klar abgrenzen"
17,"Erhalt Kulturlandschaft und fruchtbarer Boeden; Ablehnung Flaechenentzug","Biotop-/Steinrueckenerhalt, Bodenbewertung und Rueckbau nach Befristung enthalten","Teilweise beruecksichtigt","Grundsatzforderung gegen Flaechenentzug nicht uebernommen","Gewichtung Landwirtschaft vs. EE-Ausbau deutlicher begruenden"
18,"Vorranggebiet/LSG, fehlende Kartierung, Biotope/Zauneidechse; Teilflaechenausnahme gefordert","Kartierungen 2024/2025, Zauneidechse/Leitzaun und Biotoperhalt dokumentiert","Teilweise beruecksichtigt","Herausnahme suedlicher Teilflaeche nicht klar erkennbar","Teilflaechenentscheidung kartographisch und in Abwaegung praezisieren"
19,"Verhaeltnismaessigkeit/Experimentierklausel; technische und rechtliche Detaileinwaende","Wegerecht/Abstaende/Loeschwasser teils geregelt, mehrere Detailfragen offen","Teilweise beruecksichtigt","Mehrere Einzelforderungen nicht vollstaendig beantwortet","Punkt-fuer-Punkt-Abwaegungsmatrix mit Uebernahmestatus erstellen"
20,"Wertverlust, Brunnen/Drainage-Risiko, Zugang Waldstueck 233/3, Alternativstandorte","Zugang 233/3 geregelt und Alternativen geprueft; Brunnen/Wertfrage nicht abschliessend geklaert","Teilweise beruecksichtigt","Einzelfall Brunnen/Drainage und Wertfrage offen","Hydrogeologische Einzelfallpruefung und Dokumentation vorsehen"
